,wbcode,country,ctrlcrp,goveff,polstab,regqual,lawrule,voicacc,colstart,colend,coldur,freesince,lastcol,cnticodenum
82,NIC,NICARAGUA,32.0,24.0,35.27346,40.7,26.671429,46.70362,1524.0,1821.0,297.0,prior to 1880,spain,North America
83,NRU,NAURU,48.5,18.285715,89.582695,20.5,69.80476,79.7149,1888.0,1968.0,80.0,since 1945,britain,Oceania
84,NZL,NEW ZEALAND,98.9,94.3,95.67077,96.9,97.18381,98.59615,1840.0,1920.0,80.0,since 1880,britain,Oceania
85,PAK,PAKISTAN,22.0,31.0,7.015,26.9,23.43381,18.589811,1857.0,1947.0,90.0,since 1945,britain,Asia
86,PAN,PANAMA,43.9,57.6,50.59308,67.1,49.779526,63.14509,1519.0,1821.0,302.0,prior to 1880,spain,North America
87,PER,PERU,49.9,42.3,19.602308,61.2,30.770475,46.41914,1533.0,1824.0,291.0,prior to 1880,spain,South America
88,PHL,PHILIPPINES,33.0,52.7,19.896154,54.1,41.208096,50.258083,1565.0,1898.0,333.0,since 1880,spain,Asia
89,PLW,PALAU,47.0,43.714287,89.582695,23.0,70.68492,87.889755,1885.0,1914.0,29.0,since 1880,"other (IT, GE, NT), replace",Oceania
90,PNG,PAPUA NEW GUINEA,19.7,27.9,25.07577,26.1,21.190952,49.003323,1884.0,1920.0,36.0,since 1880,britain,Oceania
91,PRY,PARAGUAY,11.1,21.1,24.84,30.9,18.244286,36.800617,1537.0,1811.0,274.0,prior to 1880,spain,South America
92,QAT,QATAR,78.4,69.0,76.01231,62.3,70.27381,29.500803,1916.0,1971.0,55.0,since 1970,britain,Asia
93,RWA,RWANDA,40.0,24.3,18.826155,21.9,20.105715,10.995558,1899.0,1962.0,63.0,since 1945,"other (IT, GE, NT), replace",Africa
94,SDN,SUDAN,8.5,8.1,2.6419232,9.3,4.525238,4.6120024,1898.0,1956.0,58.0,since 1945,britain,Africa
95,SEN,SENEGAL,44.9,52.4,34.305,43.6,46.256668,49.873146,1693.0,1960.0,267.0,since 1945,france,Africa
96,SGP,SINGAPORE,98.3,99.5,90.86,99.5,93.17953,45.498756,1826.0,1963.0,137.0,since 1945,britain,Asia
97,SLB,SOLOMON ISLANDS,30.666666,12.7,53.768078,8.9,18.002117,59.572895,1885.0,1978.0,93.0,since 1970,britain,Oceania
98,SLE,SIERRA LEONE,15.2,9.4,21.18423,13.5,9.860952,26.809958,1896.0,1961.0,65.0,since 1945,britain,Africa
99,SLV,EL SALVADOR,46.1,46.7,43.09923,58.3,35.821903,50.40946,1528.0,1821.0,293.0,prior to 1880,spain,North America
100,SOM,SOMALIA,1.2,0.4,0.8653846,0.2,0.04761905,3.6002338,1888.0,1960.0,72.0,since 1945,britain,Africa
101,STP,SAO TOME AND PRINCIPE,37.88889,26.3,67.18269,23.3,39.96455,58.664406,1522.0,1975.0,453.0,since 1970,portugal,Africa
102,SUR,SURINAME,57.9,47.2,56.936924,30.2,46.059048,55.926777,1667.0,1974.0,307.0,since 1970,"other (IT, GE, NT), replace",South America
103,SWZ,SWAZILAND,43.333332,27.4,46.46,33.0,33.344284,12.103103,1903.0,1968.0,65.0,since 1945,britain,Africa
